GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WattDepot,org.wattdepot.client.http.api,WattDepotAdminClient,150,334,1,1,20,81,3,13,2,13
WattDepot,org.wattdepot.client.http.api,ExampleInstances,392,0,30,0,73,0,19,0,4,0
WattDepot,org.wattdepot.client.http.api,WattDepotClient,567,2550,68,34,114,445,47,71,1,66
WattDepot,org.wattdepot.server.depository.impl.hibernate,SensorImpl,172,218,56,8,49,42,36,16,4,16
WattDepot,org.wattdepot.server.depository.impl.hibernate,PropertyImpl,14,172,6,24,5,44,6,22,1,12
WattDepot,org.wattdepot.server.depository.impl.hibernate,MeasurementTypeImpl,187,39,38,0,43,14,27,6,8,6
WattDepot,org.wattdepot.server.depository.impl.hibernate,OrganizationImpl,139,116,34,6,36,27,26,10,7,9
WattDepot,org.wattdepot.server.depository.impl.hibernate,MeasurementCachePair,50,0,8,0,15,0,8,0,4,0
WattDepot,org.wattdepot.server.depository.impl.hibernate,SensorModelImpl,182,135,48,6,45,32,34,11,7,11
WattDepot,org.wattdepot.server.depository.impl.hibernate,UserPasswordImpl,186,45,38,0,42,15,27,6,8,6
WattDepot,org.wattdepot.server.depository.impl.hibernate,PersistenceCache,4,153,2,10,2,32,2,14,0,10
WattDepot,org.wattdepot.server.depository.impl.hibernate,WattDepotPersistenceImpl,5104,6669,251,367,575,1528,214,223,7,121
WattDepot,org.wattdepot.server.depository.impl.hibernate,SensorGroupImpl,223,69,46,2,49,22,32,8,9,7
WattDepot,org.wattdepot.server.depository.impl.hibernate,DepositorySensorContribution,146,14,30,0,34,7,21,4,6,4
WattDepot,org.wattdepot.server.depository.impl.hibernate,Manager,92,102,4,4,8,10,5,3,2,2
WattDepot,org.wattdepot.server.depository.impl.hibernate,RowCount,142,3,28,0,26,1,23,1,9,1
WattDepot,org.wattdepot.server.depository.impl.hibernate,MeasurementPruningDefinitionImpl,421,118,84,2,88,38,61,12,18,12
WattDepot,org.wattdepot.server.depository.impl.hibernate,UserInfoImpl,217,199,57,13,53,42,42,13,9,11
WattDepot,org.wattdepot.server.depository.impl.hibernate,CollectorProcessDefinitionImpl,341,91,71,1,71,30,47,11,11,11
WattDepot,org.wattdepot.server.depository.impl.hibernate,MeasurementImpl,259,60,54,0,54,19,35,11,8,11
WattDepot,org.wattdepot.server.depository.impl.hibernate,MeasurementCache,126,0,18,0,37,0,13,0,4,0
WattDepot,org.wattdepot.server.depository.impl.hibernate,DepositoryImpl,237,43,46,0,57,13,35,6,12,6
WattDepot,org.wattdepot.server,WattDepotServer,132,163,12,4,35,38,14,4,6,4
WattDepot,org.wattdepot.server,StrongAES,37,74,1,3,19,21,1,5,0,4
WattDepot,org.wattdepot.server,WattDepotPersistence,58,50,0,4,17,14,2,7,2,5
WattDepot,org.wattdepot.server,ServerProperties,214,608,46,44,31,112,39,16,1,9
WattDepot,org.wattdepot.server,AdminEnv,10,0,0,0,5,0,2,0,2,0
WattDepot,org.wattdepot.common.util.logger,LoggerUtil,282,94,37,7,55,25,23,6,4,3
WattDepot,org.wattdepot.common.util.logger,OneLineFormatter,66,0,4,0,19,0,6,0,4,0
WattDepot,org.wattdepot.common.util.logger,HTTPClientHelperFilter,14,0,2,0,5,0,3,0,2,0
WattDepot,org.wattdepot.client,ClientProperties,23,366,4,22,2,78,3,18,0,8
WattDepot,org.wattdepot.common.http.api,API,3,0,0,0,1,0,1,0,1,0
WattDepot,org.wattdepot.common.analysis,DescriptiveStats,190,0,12,0,44,0,26,0,20,0
WattDepot,org.wattdepot.common.util.tstamp,TstampComparator,2,15,1,3,1,5,1,3,0,2
WattDepot,org.wattdepot.common.util.tstamp,Tstamp,155,436,10,38,45,95,14,36,6,20
WattDepot,org.wattdepot.common.util.csv,DefinitionFileReader,178,0,16,0,46,0,16,0,8,0
WattDepot,org.wattdepot.common.util.csv,CSVObjectFactory,204,584,12,16,41,113,13,14,3,10
WattDepot,org.wattdepot.common.util.csv,DefinitionFileWriter,236,0,10,0,60,0,22,0,17,0
WattDepot,org.wattdepot.server.measurement.pruning,MeasurementPruner,974,0,64,0,186,0,45,0,13,0
WattDepot,org.wattdepot.common.domainmodel,SensorModel,74,230,32,22,18,54,25,18,0,16
WattDepot,org.wattdepot.common.domainmodel,SensorGroup,97,194,33,19,21,47,28,16,4,14
WattDepot,org.wattdepot.common.domainmodel,CollectorProcessDefinition,111,345,40,42,30,75,32,33,4,20
WattDepot,org.wattdepot.common.domainmodel,MeasurementRateSummary,65,274,36,26,22,58,29,22,0,20
WattDepot,org.wattdepot.common.domainmodel,MeasurementPruningDefinition,88,472,47,39,32,102,39,37,0,33
WattDepot,org.wattdepot.common.domainmodel,InterpolatedValueList,0,27,0,0,0,7,0,4,0,4
WattDepot,org.wattdepot.common.domainmodel,UserInfoList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,Property,9,119,6,16,4,32,5,15,0,9
WattDepot,org.wattdepot.common.domainmodel,Sensor,191,196,52,18,39,51,38,19,5,17
WattDepot,org.wattdepot.common.domainmodel,Depository,29,171,14,20,6,47,10,22,1,14
WattDepot,org.wattdepot.common.domainmodel,MeasurementList,0,27,0,0,0,7,0,4,0,4
WattDepot,org.wattdepot.common.domainmodel,SensorGroupList,12,15,0,0,1,6,1,3,1,3
WattDepot,org.wattdepot.common.domainmodel,SensorMeasurementSummary,106,179,30,16,35,31,22,16,5,10
WattDepot,org.wattdepot.common.domainmodel,IntervalValue,81,247,31,19,27,44,18,22,0,15
WattDepot,org.wattdepot.common.domainmodel,MeasurementType,39,175,16,18,10,45,13,17,0,13
WattDepot,org.wattdepot.common.domainmodel,SensorList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,OrganizationList,12,15,0,0,1,6,1,3,1,3
WattDepot,org.wattdepot.common.domainmodel,CollectorProcessDefinitionList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,DepositoryList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,Labels,3,0,0,0,1,0,1,0,1,0
WattDepot,org.wattdepot.common.domainmodel,UserInfo,73,206,25,13,18,52,21,21,3,20
WattDepot,org.wattdepot.common.domainmodel,MeasurementTypeList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,SensorModelList,0,15,0,0,0,6,0,3,0,3
WattDepot,org.wattdepot.common.domainmodel,Measurement,189,192,38,14,34,43,27,16,3,14
WattDepot,org.wattdepot.common.domainmodel,Organization,56,187,22,14,14,46,19,16,2,15
WattDepot,org.wattdepot.common.domainmodel,MeasurementPruningDefinitionList,0,20,0,0,0,7,0,4,0,4
WattDepot,org.wattdepot.common.domainmodel,UserPassword,99,110,24,10,24,26,21,10,5,9
WattDepot,org.wattdepot.common.domainmodel,InterpolatedValue,215,158,50,4,48,32,29,15,2,15
WattDepot,org.wattdepot.client.http.api.csv,OrganizationDomain,288,0,42,0,50,0,26,0,5,0
WattDepot,org.wattdepot.client.http.api.csv,OrganizationDomainMain,228,0,14,0,52,0,9,0,2,0
WattDepot,org.wattdepot.common.util,SensorModelHelper,3,49,0,0,1,6,1,1,1,1
WattDepot,org.wattdepot.common.util,GvizHelper,408,0,24,0,90,0,21,0,9,0
WattDepot,org.wattdepot.common.util,Slug,5,159,1,1,2,34,2,2,1,2
WattDepot,org.wattdepot.common.util,DateConvert,3,36,0,0,1,11,1,4,1,4
WattDepot,org.wattdepot.common.util,UnitsHelper,16,210,0,0,3,29,0,3,0,3
WattDepot,org.wattdepot.common.util,UserHome,3,10,0,0,2,2,1,2,1,2
WattDepot,org.wattdepot.server.http.api,GvizDepositoryAverageValuesServerResource,32,0,0,0,9,0,3,0,3,0
WattDepot,org.wattdepot.server.http.api,AdminServerResource,66,222,12,4,14,39,7,3,0,2
WattDepot,org.wattdepot.server.http.api,DepositoryAverageValuesServerResource,6,0,0,0,2,0,2,0,2,0
WattDepot,org.wattdepot.server.http.api,DepositoryPutServerResource,31,54,1,1,7,10,1,2,0,2
WattDepot,org.wattdepot.server.http.api,DepositoryValuesServerResource,0,6,0,0,0,2,0,2,0,2
WattDepot,org.wattdepot.server.http.api,WattDepotComponent,23,229,2,8,5,45,2,4,0,1
WattDepot,org.wattdepot.server.http.api,MeasurementTypesServerResource,0,32,0,2,0,7,0,3,0,2
WattDepot,org.wattdepot.server.http.api,MeasurementPruningDefinitionServerResource,30,177,5,7,8,29,5,6,0,5
WattDepot,org.wattdepot.server.http.api,SensorServerResource,110,176,4,6,20,30,4,6,0,5
WattDepot,org.wattdepot.server.http.api,SensorModelPutServerResource,26,38,1,1,8,6,1,2,0,2
WattDepot,org.wattdepot.server.http.api,MeasurementTypeServerResource,12,127,1,5,4,26,1,7,0,5
WattDepot,org.wattdepot.server.http.api,SensorMeasurementServerResource,304,0,20,0,59,0,14,0,4,0
WattDepot,org.wattdepot.server.http.api,DepositoryValuesServer,208,273,23,13,48,43,15,6,0,3
WattDepot,org.wattdepot.server.http.api,DepositoryMeasurementPutServerResource,51,72,3,3,9,14,3,3,0,3
WattDepot,org.wattdepot.server.http.api,UserPasswordServerResource,118,0,4,0,20,0,6,0,4,0
WattDepot,org.wattdepot.server.http.api,DepositoryMinimumValuesServerResource,90,0,4,0,19,0,4,0,2,0
WattDepot,org.wattdepot.server.http.api,DepositoryMaximumValuesServerResource,90,0,4,0,19,0,4,0,2,0
WattDepot,org.wattdepot.server.http.api,DepositoryValueServerResource,0,6,0,0,0,2,0,2,0,2
WattDepot,org.wattdepot.server.http.api,MeasurementTypePutServerResource,21,42,1,3,6,11,1,3,0,2
WattDepot,org.wattdepot.server.http.api,WattDepotApplication,16,305,0,0,4,67,3,6,3,6
WattDepot,org.wattdepot.server.http.api,SensorPutServerResource,84,72,3,3,18,11,3,2,0,2
WattDepot,org.wattdepot.server.http.api,UserInfoPutServerResource,65,107,7,5,10,16,6,2,0,2
WattDepot,org.wattdepot.server.http.api,UserInfoServerResource,36,197,4,8,5,33,4,7,0,5
WattDepot,org.wattdepot.server.http.api,SensorModelServerResource,5,105,0,0,2,21,0,5,0,5
WattDepot,org.wattdepot.server.http.api,WebSession,160,0,32,0,45,0,26,0,10,0
WattDepot,org.wattdepot.server.http.api,DepositoryMeasurementsServerResource,0,6,0,0,0,2,0,2,0,2
WattDepot,org.wattdepot.server.http.api,LoginPageServerResource,35,0,0,0,5,0,2,0,2,0
WattDepot,org.wattdepot.server.http.api,DepositoryServerResource,83,109,3,1,15,20,3,4,1,4
WattDepot,org.wattdepot.server.http.api,CollectorProcessDefinitionPutServerResource,87,80,3,3,15,12,3,2,0,2
WattDepot,org.wattdepot.server.http.api,MeasurementPruningDefinitionPutServerResource,31,73,1,1,7,10,1,2,0,2
WattDepot,org.wattdepot.server.http.api,DepositoryMeasurementServerResource,118,71,5,1,17,12,5,3,2,3
WattDepot,org.wattdepot.server.http.api,DepositoryAverageValuesServer,443,0,34,0,88,0,22,0,5,0
WattDepot,org.wattdepot.server.http.api,GvizDepositoryValuesServerResource,32,0,0,0,9,0,3,0,3,0
WattDepot,org.wattdepot.server.http.api,GvizDepositoryMeasurementsServerResource,32,0,0,0,9,0,3,0,3,0
WattDepot,org.wattdepot.server.http.api,LoginServerResource,74,0,4,0,17,0,5,0,3,0
WattDepot,org.wattdepot.server.http.api,SensorsServerResource,19,51,1,3,4,9,1,3,0,2
WattDepot,org.wattdepot.server.http.api,OrganizationsServerResource,6,48,1,3,2,8,1,3,0,2
WattDepot,org.wattdepot.server.http.api,OrgSummaryServerResource,329,0,16,0,57,0,11,0,3,0
WattDepot,org.wattdepot.server.http.api,WattDepotServerResource,0,17,0,0,0,5,0,2,0,2
WattDepot,org.wattdepot.server.http.api,OrganizationPutServerResource,125,95,11,5,28,17,8,3,1,2
WattDepot,org.wattdepot.server.http.api,SensorGroupServerResource,60,161,4,6,11,29,4,6,0,5
